SaleID,price
200000,6.994067297
200001,7.524080077
200002,9.184705375
200003,7.090396014
200004,7.653550849
200005,6.987840582
200006,6.20686846
200007,8.164306175
200008,9.554447116
200009,6.413768246
200010,6.464484866
200011,7.855621276
200012,8.631401989
200013,9.063580517
200014,7.832927745
200015,5.797435721
200016,7.456975386
200017,9.149552846
200018,8.963017458
200019,6.190174771
200020,10.15232629
200021,9.016624748
200022,7.722432529
200023,7.328244841
200024,6.79820299
200025,8.961421679
200026,6.505934569
200027,9.391607949
200028,8.424233463
200029,9.026060238
200030,9.996491946
200031,9.199133998
200032,6.540664362
200033,9.632825868
200034,6.698511245
200035,7.298712357
200036,9.630863676
200037,8.905881032
200038,7.198654152
200039,5.940781778
200040,6.53599798
200041,9.975946602
200042,6.22421046
200043,9.004782598
200044,9.852060305
200045,6.430614746
200046,9.823320688
200047,9.835951054
200048,7.757446986
200049,8.145401657
200050,6.462520858
200051,8.361246369
200052,7.947682906
200053,6.405850748
200054,9.728518798
200055,9.342492549
200056,8.775703963
200057,8.136495912
200058,7.191118285
200059,8.6020486
200060,9.058232209
200061,7.012554435
200062,8.707559764
200063,9.176305765
200064,6.994686113
200065,7.321570792
200066,6.239741922
200067,9.514660143
200068,5.294022399
200069,9.802067764
200070,9.192755873
200072,8.559984276
200073,9.604491097
200074,8.195477086
200075,9.086971907
200076,7.685371284
200078,5.763734662
200079,8.021703428
200080,8.171940505
200081,7.480797394
200082,8.275514098
200083,5.96617775
200084,7.312247398
200085,7.519911908
200086,8.920597397
200087,8.153299761
200088,7.914955308
200089,10.6196309
200090,7.916423835
200092,7.613519375
200093,9.886720269
200094,8.993532561
200095,8.65077813
200096,7.746759516
200097,7.050468365
200098,6.167140587
200099,9.70293179
200100,10.08491523
200101,8.96373464
200102,7.419543731
200103,9.507044135
200104,8.750338698
200105,8.220524761
200106,9.224440184
200108,9.747717915
200109,9.009744629
200110,6.683145801
200111,7.471603853
200112,7.464872452
200113,6.358923
200114,7.736033608
200115,7.001336179
200116,9.520795707
200117,9.635298651
200119,5.343164992
200120,8.093883447
200121,7.950915664
200122,6.621733554
200123,7.663096755
200124,10.96271654
200125,6.492847724
200126,8.063148299
200127,9.779666637
200128,7.403932558
200129,8.69423367
200130,8.264820815
200131,7.963360667
200132,7.126807797
200133,7.908657659
200134,7.147537667
200136,8.199910597
200137,7.393918055
200138,9.163072477
200139,8.969045353
200141,7.280504367
200142,8.196377414
200143,8.526998159
200144,7.224711505
200145,8.628692828
200146,7.755740644
200147,8.199818777
200148,7.670311704
200149,5.750150578
200150,9.345144439
200151,8.487237955
200152,6.737470734
200153,6.335073669
200154,9.031255787
200155,7.925821224
200156,9.731431274
200157,9.236780674
200158,9.420547003
200160,8.860332734
200161,9.050708349
200162,8.878708043
200164,9.719388879
200165,9.64128509
200166,10.29167686
200167,8.164930647
200168,10.62686968
200169,6.694462267
200170,7.710317508
200171,9.032064241
200172,7.585877448
200173,10.58685055
200176,9.15797279
200177,8.697472158
200178,8.371494116
200179,8.194235479
200180,6.830694195
200181,9.74163385
200182,8.510291542
200183,7.663325058
200185,8.201639612
200186,8.071023014
200187,8.758847971
200188,9.597427113
200189,9.106001787
200190,8.178670429
200191,7.92936748
200192,6.947886473
200193,7.99162904
200194,9.059342891
200195,7.692054142
200196,6.904774122
200197,10.12626049
200198,7.164177391
200199,8.357110217
200200,6.311265173
200201,8.906563118
200202,7.555621775
200203,7.565812078
200204,8.910224019
200205,8.650036306
200206,6.736847313
200207,8.10379052
200208,8.64633524
200209,7.205379723
200210,9.552011938
200211,8.780688958
200212,8.869732456
200213,9.144889592
200214,10.01811163
200215,9.036332599
200216,7.915660115
200217,7.064214806
200218,9.330075106
200219,7.107439661
200220,7.772251851
200221,8.92620282
200222,7.790890269
200223,6.669927504
200224,9.617326037
200225,8.165885843
200226,6.883463932
200227,9.175128367
200228,5.63652801
200229,8.869743843
200230,8.872577049
200231,8.550409825
200232,6.857514066
200233,8.958334485
200234,6.071538646
200235,9.147814608
200236,8.031996564
200237,8.498856312
200238,9.044556265
200239,9.152078845
200240,10.21328521
200241,9.43578981
200242,8.330798969
200243,7.926463926
200244,8.709141733
200245,8.443957071
200246,8.339874757
200247,7.686078827
200248,5.653134328
200249,9.138896132
200250,9.957744338
200251,9.262169189
200252,6.500967909
200253,8.859776511
200254,9.285576763
200255,9.022289765
200256,7.753113676
200257,9.135729205
200258,8.357883263
200259,8.976991009
200260,7.20936464
200261,8.427004678
200262,7.98825137
200263,9.191905243
200264,8.788040528
200265,8.212942726
200266,7.104874636
200267,9.422113792
200268,8.910027772
200269,8.168232669
200270,9.295479606
200271,7.823563934
200272,7.764649292
200273,9.810579863
200274,6.354055516
200275,9.674358747
200276,7.582974863
200277,8.073055914
200278,7.488809353
200279,9.304675901
200280,7.821465222
200281,6.601891291
200282,9.310214111
200283,8.897227897
200284,6.173387714
200285,8.482726404
200286,7.153264633
200287,9.459716013
200288,9.476046518
200289,7.894887425
200290,8.788518125
200291,9.134261329
200292,7.796021492
200293,9.096437324
200294,8.879907627
200295,7.269585396
200296,7.953257453
200297,8.76026657
200298,7.200110191
200299,8.38322705
200300,8.474440189
200301,8.519526022
200302,7.492014624
200303,8.878831818
200304,7.802638953
200305,8.272384318
200306,7.510660908
200307,9.757365457
200308,7.484326287
200309,7.033184608
200310,6.964025016
200311,7.00552898
200312,9.246479548
200313,7.462327797
200314,8.188905676
200315,6.889797871
200316,10.46272321
200317,7.748042859
200318,5.996670452
200319,9.183267819
200320,8.005151609
200321,10.26911397
200323,7.29075186
200324,10.19555877
200325,8.5834985
200326,7.749500862
200327,9.85823416
200328,6.638097165
200329,8.972113112
200330,7.565309996
200331,7.355584498
200332,9.486891959
200333,7.14115279
200334,6.047885739
200335,7.356009889
200336,7.272072345
200337,6.928398321
200338,7.258934151
200339,9.600494131
200340,10.33956548
200341,7.797287992
200342,8.712949339
200343,7.514798728
200344,8.551198932
200345,8.756549556
200346,7.119103414
200347,9.419480796
200348,9.250997557
200349,6.688987706
200350,9.285128456
200351,7.765362229
200352,6.504549578
200353,7.160413558
200354,8.044224137
200355,6.442176135
200356,7.964625944
200357,7.257129449
200358,7.918678335
200359,8.795919072
200360,9.867725823
200361,7.4335768
200362,7.709982999
200363,7.45057384
200364,8.561970671
200365,9.105145069
200366,7.071442103
200367,8.523401165
200368,8.738034609
200369,8.684491794
200370,6.942679921
200371,9.341113921
200372,7.056522071
200373,6.765894817
200374,6.950230412
200375,7.074114354
200376,7.747486334
200377,7.52670779
200378,7.125848867
200379,7.485201642
200381,8.11742422
200382,10.17340057
200383,7.370075493
200384,7.704096804
200385,6.590676886
200386,7.246360339
200387,8.351218379
200388,8.728806852
200389,8.417484687
200390,5.738414112
200391,8.06868529
200392,7.031535347
200393,7.852144198
200394,8.128541237
200395,5.074619784
